date_key,business_line_key,region_key,earned_premium,incurred_loss
20220101,1,1,8745.4,6241.23
20220101,1,2,14507.14,9914.5
20220101,1,3,12319.94,7816.23
20220101,1,4,10986.58,7310.9
20220101,2,1,6560.19,5349.82
20220101,2,2,6559.95,4863.48
20220101,2,3,5580.84,4865.38
20220101,2,4,13661.76,10766.39
20220101,3,1,11011.15,6374.47
20220101,3,2,12080.73,6744.07
20220101,3,3,5205.84,3081.04
20220101,3,4,14699.1,7997.23
20220101,4,1,13324.43,6977.28
20220101,4,2,7123.39,3587.5
20220101,4,3,6818.25,3380.17
20220101,4,4,6834.05,3004.6
20220102,1,1,8042.42,5545.61
20220102,1,2,10247.56,7417.15
20220102,1,3,9319.45,6549.48
20220102,1,4,7912.29,5129.82
20220102,2,1,11118.53,8471.66
20220102,2,2,6394.94,4922.46
20220102,2,3,7921.45,6050.23
20220102,2,4,8663.62,7344.48
20220102,3,1,9560.7,4991.23
20220102,3,2,12851.76,7665.68
20220102,3,3,6996.74,3779.72
20220102,3,4,10142.34,5575.97
20220102,4,1,10924.15,4643.21
20220102,4,2,5464.5,2511.22
20220102,4,3,11075.45,5628.73
20220102,4,4,6705.24,3210.34
20220103,1,1,5650.52,3625.77
20220103,1,2,14488.86,10392.59
20220103,1,3,14656.32,10619.83
20220103,1,4,13083.97,8977.17
20220103,2,1,8046.14,6981.67
20220103,2,2,5976.72,4900.5
20220103,2,3,11842.33,9645.11
20220103,2,4,9401.52,7107.01
20220103,3,1,6220.38,3705.33
20220103,3,2,9951.77,5810.02
20220103,3,3,5343.89,3166.62
20220103,3,4,14093.2,7861.03
20220103,4,1,7587.8,3608.56
20220103,4,2,11625.22,5269.1
20220103,4,3,8117.11,3423.93
20220103,4,4,10200.68,5060.91
20220104,1,1,10467.1,6608.15
20220104,1,2,6848.54,4699.89
20220104,1,3,14695.85,10198.44
20220104,1,4,12751.33,8846.21
20220104,2,1,14394.99,11177.28
20220104,2,2,13948.27,11134.89
20220104,2,3,10979.0,8850.89
20220104,2,4,14218.74,11610.48
20220104,3,1,5884.93,3693.66
20220104,3,2,6959.83,4066.98
20220104,3,3,5452.27,3159.24
20220104,3,4,8253.3,4550.88
20220104,4,1,8886.77,4291.17
20220104,4,2,7713.49,3766.81
20220104,4,3,13287.38,6218.85
20220104,4,4,8567.53,4159.02
20220105,1,1,7809.35,5252.97
20220105,1,2,10426.96,7356.62
20220105,1,3,6409.24,4574.82
20220105,1,4,13021.97,9288.68
20220105,2,1,5745.51,4552.16
20220105,2,2,14868.87,11102.59
20220105,2,3,12722.45,9714.33
20220105,2,4,6987.16,5667.26
20220105,3,1,5055.22,3277.5
20220105,3,2,13154.61,7468.86
20220105,3,3,12068.57,7129.88
20220105,3,4,12290.07,6901.57
20220105,4,1,12712.7,5715.38
20220105,4,2,5740.45,2621.16
20220105,4,3,8584.66,3634.63
20220105,4,4,6158.69,3107.53
20220106,1,1,13631.03,8267.88
20220106,1,2,11232.98,7567.27
20220106,1,3,8308.98,5338.16
20220106,1,4,5635.58,3677.13
20220106,2,1,8109.82,6827.75
20220106,2,2,8251.83,6565.29
20220106,2,3,12296.06,9218.05
20220106,2,4,11375.57,8696.39
20220106,3,1,13872.13,7706.46
20220106,3,2,9722.15,5603.72
20220106,3,3,6195.94,3609.99
20220106,3,4,12132.45,7672.47
20220106,4,1,12607.85,5387.77
20220106,4,2,10612.77,5007.06
20220106,4,3,12709.67,5912.04
20220106,4,4,9937.96,4919.15
20220107,1,1,10227.33,7106.12
20220107,1,2,9275.41,6519.29
20220107,1,3,5254.19,3648.95
20220107,1,4,6078.91,3956.71
20220107,2,1,5314.29,4439.79
20220107,2,2,11364.1,9309.32
20220107,2,3,8143.56,6708.63
20220107,2,4,10085.71,8447.01
20220107,3,1,14075.66,8300.94
20220107,3,2,7492.92,4648.98
20220107,3,3,9103.83,5358.34
20220107,3,4,12555.51,7173.54
20220107,4,1,7287.98,3443.47
20220107,4,2,5769.8,2723.8
20220107,4,3,7897.51,3635.76
20220107,4,4,6612.21,3380.21
20220108,1,1,14296.98,9905.71
20220108,1,2,13081.2,8973.35
20220108,1,3,11334.04,7888.42
20220108,1,4,13714.61,10758.59
20220108,2,1,13036.72,9688.87
20220108,2,2,6865.7,5180.11
20220108,2,3,13925.59,10212.98
20220108,2,4,10393.42,8092.46
20220108,3,1,13074.4,7645.83
20220108,3,2,13960.91,7877.6
20220108,3,3,8180.03,4598.1
20220108,3,4,6100.52,3549.38
20220108,4,1,7279.35,3354.32
20220108,4,2,9271.08,4450.08
20220108,4,3,13180.15,6576.87
20220108,4,4,13607.31,6649.43
20220109,1,1,5069.52,3613.81
20220109,1,2,10107.47,7275.81
20220109,1,3,9174.11,6352.41
20220109,1,4,7221.08,4891.25
20220109,2,1,6198.65,4694.83
20220109,2,2,8376.15,6469.79
20220109,2,3,14429.1,11069.81
20220109,2,4,8232.03,6722.57
20220109,3,1,10187.91,5987.93
20220109,3,2,12030.19,7192.34
20220109,3,3,8636.3,4699.98
20220109,3,4,14717.82,9111.65
20220109,4,1,14624.47,6765.25
20220109,4,2,7517.82,3358.14
20220109,4,3,9972.49,4610.36
20220109,4,4,8008.78,4255.8
20220110,1,1,7848.4,5255.06
20220110,1,2,5368.87,3606.31
20220110,1,3,11095.64,7503.41
20220110,1,4,10026.79,6795.49
20220110,2,1,5514.79,4175.08
20220110,2,2,7786.46,6178.53
20220110,2,3,14082.66,11691.78
20220110,2,4,7395.62,5918.23
20220110,3,1,6448.95,3518.94
20220110,3,2,9894.53,5618.24
20220110,3,3,14856.5,8346.79
20220110,3,4,7420.55,4298.65
20220110,4,1,11721.36,5909.42
20220110,4,2,12616.2,5919.44
20220110,4,3,7376.38,3471.54
20220110,4,4,12282.16,6321.98
20220111,1,1,8677.83,6185.18
20220111,1,2,11323.06,7953.79
20220111,1,3,11335.3,8498.03
20220111,1,4,10357.75,7245.91
20220111,2,1,5902.9,4188.9
20220111,2,2,13353.02,10958.78
20220111,2,3,8207.8,5952.11
20220111,2,4,6865.19,5531.28
20220111,3,1,5407.75,2856.81
20220111,3,2,10908.93,6155.93
20220111,3,3,11775.64,6680.08
20220111,3,4,5165.88,2869.85
20220111,4,1,10120.93,4701.08
20220111,4,2,7264.96,3611.72
20220111,4,3,11451.73,5220.39
20220111,4,4,6743.66,3274.87
20220112,1,1,11909.38,7739.96
20220112,1,2,8867.35,5997.92
20220112,1,3,14367.3,9969.94
20220112,1,4,6375.21,4136.56
20220112,2,1,8410.66,6192.4
20220112,2,2,6134.74,4952.64
20220112,2,3,14246.94,11856.0
20220112,2,4,13773.39,10809.61
20220112,3,1,7579.42,4279.38
20220112,3,2,11599.84,6754.76
20220112,3,3,13172.22,7632.26
20220112,3,4,10552.01,6171.19
20220112,4,1,10296.51,4252.43
20220112,4,2,7418.52,3319.7
20220112,4,3,5931.03,2685.45
20220112,4,4,13972.16,6655.3
20220113,1,1,14004.18,9652.47
20220113,1,2,11331.01,7984.2
20220113,1,3,8390.3,5803.61
20220113,1,4,8492.1,5422.16
20220113,2,1,12259.56,10359.11
20220113,2,2,13971.1,11708.96
20220113,2,3,13870.86,10242.26
20220113,2,4,12798.76,10252.84
20220113,3,1,11420.32,6402.72
20220113,3,2,5841.4,3398.87
20220113,3,3,6616.29,4024.55
20220113,3,4,13985.54,8942.22
20220113,4,1,11064.29,5427.51
20220113,4,2,5091.97,2442.9
20220113,4,3,6014.72,2795.34
20220113,4,4,11635.02,5550.94
20220114,1,1,5050.62,3683.8
20220114,1,2,6608.08,4502.86
20220114,1,3,10487.34,6844.93
20220114,1,4,11918.95,7480.76
20220114,2,1,11519.61,9310.45
20220114,2,2,7242.69,5777.9
20220114,2,3,12121.79,9243.63
20220114,2,4,7372.49,6107.65
20220114,3,1,8254.0,4669.19
20220114,3,2,12464.91,7154.67
20220114,3,3,11496.33,6637.91
20220114,3,4,13492.23,7660.01
20220114,4,1,11576.13,5537.82
20220114,4,2,10683.09,5341.86
20220114,4,3,5936.75,2646.59
20220114,4,4,8677.16,4202.83
20220115,1,1,7652.02,5271.15
20220115,1,2,7439.9,5120.35
20220115,1,3,14730.11,10498.89
20220115,1,4,8930.98,6114.69
